gid,actual_price,rsi,ma25_distance,predicted_action
864138,81716.6019,28.56,-59.17,BULLISH_DRIFT
864147,81678.4083,25.67,-79.82,BULLISH_DRIFT
864155,81684,21.06,-115.01,BULLISH_DRIFT
864164,81697.6242,27.78,-95.62,BULLISH_DRIFT
864172,81676.68,42.25,-58.87,BEARISH_DRIFT
864181,81655.89,41.36,-78.92,BEARISH_DRIFT
864189,81641.7048,36.0,-100.19,BEARISH_DRIFT
864198,81676.17,35.88,-83.27,BEARISH_DRIFT
864206,81604.8471,40.27,-82.66,BEARISH_DRIFT
864215,81607.6792,32.16,-113.63,BULLISH_DRIFT
864223,81610.03,29.59,-96.39,BULLISH_DRIFT
864232,81608.2079,23.47,-104.89,BULLISH_DRIFT
864240,81622.5631,29.15,-90.38,BULLISH_DRIFT
864249,81574.872,27.44,-99.99,BULLISH_DRIFT
864257,81662.1851,24.31,-101.33,BULLISH_DRIFT
864266,81662.0003,43.66,-17.48,BEARISH_DRIFT
864274,81655.23,51.72,-16.4,BEARISH_DRIFT
864283,81636.7629,52.63,-9.31,BEARISH_DRIFT
864291,81697.5899,48.91,-11.75,BEARISH_DRIFT
864300,81702.37,57.16,15.06,BULLISH_DRIFT
864308,81724.6682,70.41,36.75,BEARISH_DRIFT
864317,81701.02,68.02,11.6,BEARISH_DRIFT
864325,81691,72.5,25.53,BEARISH_DRIFT
864334,81675.71,66.83,8.33,BEARISH_DRIFT
864342,81652.77,65.44,-25.47,BEARISH_DRIFT
864351,81718.81,61.4,-31.35,BEARISH_DRIFT
864359,81734.7932,56.01,2.02,BULLISH_DRIFT
864368,81785.4762,62.5,33.17,BULLISH_DRIFT
864376,81770.3499,67.08,66.57,BEARISH_DRIFT
864385,81797.27,65.15,66.67,BEARISH_DRIFT
864393,81865.82,67.15,93.57,BEARISH_DRIFT
864402,81831.3,71.62,111.09,BEARISH_DRIFT
864410,81817.8372,64.18,90.98,BULLISH_DRIFT
864419,81793.1438,66.55,70.21,BEARISH_DRIFT
864427,81800.91,64.84,34.27,BULLISH_DRIFT
864436,81882.5866,71.66,49.54,BEARISH_DRIFT
864445,81906.95,83.27,120.16,BEARISH_DRIFT
864454,81946.2251,78.26,108.33,BEARISH_DRIFT
864462,81916.3132,77.11,142.93,BEARISH_DRIFT
